market_id,market_ticker,event_ticker,series_ticker,market_question,market_subtitle,yes_subtitle,no_subtitle,market_rules,event_question,event_subtitle,series_title,series_category,series_frequency,market_status,market_result,open_time,close_time,passes_volume_filter,passes_lifetime_filter,passes_both_filters,volume_fp,lifetime_days,history_start_ts,history_end_ts,expected_daily_rows,received_daily_rows,first_observation_ts,last_observation_ts,download_status,actual_candles_exported
kalshi:-23MAR-T2,-23MAR-T2,SNOWNYM-23MAR,KXSNOWNYM,Will it snow more than 2 inches in New York City in March?,>2in,Above 2 inches,2 inches or below,"If the total snowfall in Central Park New York City between Mar 1, 2023 and Mar 31, 2023 is strictly greater than 2 inches according to the National Oceanic and Atmospheric Administration, then the market resolves to Yes.",Total snow in NYC in Mar 2023?,In Mar 2023,Total snow in NYC,Climate and Weather,monthly,finalized,no,2023-03-10T15:00:00Z,2023-04-03T14:00:00Z,0,1,0,400.0,23.958333333333332,1678460400,1680530400,25,14,1678510800.0,1679976000.0,success,14
kalshi:-23MAR-T3,-23MAR-T3,SNOWNYM-23MAR,KXSNOWNYM,Will it snow more than 3 inches in New York City in March?,>3in,Above 3 inches,3 inches or below,"If the total snowfall in Central Park New York City between Mar 1, 2023 and Mar 31, 2023 is strictly greater than 3 inches according to the National Oceanic and Atmospheric Administration, then the market resolves to Yes.",Total snow in NYC in Mar 2023?,In Mar 2023,Total snow in NYC,Climate and Weather,monthly,finalized,no,2023-03-10T15:00:00Z,2023-04-03T14:00:00Z,0,1,0,335.0,23.958333333333332,1678460400,1680530400,25,10,1678510800.0,1680148800.0,success,10
kalshi:10Y2Y-23DEC29-T0,10Y2Y-23DEC29-T0,10Y2Y-23DEC29,KX10Y2Y,"Will the 10-year minus 2-year Treasury spread be above 0% between Issuance and December 29, 2023?",>0%,Above 0%,0% or below,"If the daily 10-Year Treasury Constant Maturity minus the 2-year Treasury Constant Maturity according to the Federal Reserve Economic Data (FRED) series, measured in percent and not seasonally adjusted, between Issuance and <date>, is above 0%, then the market resolves to Yes.","Treasury spread 10Y-2Y by Dec 29, 2023?","By Dec 29, 2023",Treasury spread 10Y-2Y,Financials,custom,finalized,no,2023-03-06T15:00:00Z,2023-12-30T04:59:00Z,0,1,0,7073.0,298.5826388888889,1678114800,1703912340,300,113,1678165200.0,1703826000.0,success,113
kalshi:10Y3M-23DEC29-T0,10Y3M-23DEC29-T0,10Y3M-23DEC29,KX10Y3M,"Will the 10-year minus 3-month Treasury spread be above 0% between Issuance and December 29, 2023?",>0%,Above 0%,0% or below,"If the daily 10-Year Treasury Constant Maturity minus the 3-month Treasury Constant Maturity according to the Federal Reserve Economic Data (FRED) series, measured in percent and not seasonally adjusted, between Issuance and <date>, is above 0%, then the market resolves to Yes.","Treasury spread 10Y-3M by Dec 29, 2023?","By Dec 29, 2023",Treasury spread 10Y-3M,Financials,custom,finalized,no,2023-03-06T15:00:00Z,2023-12-30T04:59:00Z,0,1,0,9290.0,298.5826388888889,1678114800,1703912340,300,101,1678165200.0,1703826000.0,success,101
kalshi:1SONG-DRAKE-DEC2824,1SONG-DRAKE-DEC2824,1SONG-DRAKE-DEC2824,KX1SONG-DRAKE,"Will Drake have a #1 hit by Dec 28, 2024?",In 2024,In 2024,Not In 2024,"If Drake has a #1 song on the Billboard Hot 100 (including features), by the Billboard issue for the week of Dec 28, 2024, then the market resolves to Yes.",Drake has a #1 hit in 2024?,In 2024,Drake top song,Entertainment,annual,finalized,no,2024-05-08T14:00:00Z,2024-12-23T05:01:00Z,1,1,1,20223.0,228.62569444444443,1715176800,1734930060,230,145,1715227200.0,1734930000.0,success,145
kalshi:1SONGBILLIEEILISH-JUN0124,1SONGBILLIEEILISH-JUN0124,1SONGBILLIEEILISH,KX1SONGBILLIEEILISH,"Will Billie Eilish have a #1 hit by Jun 1, 2024?","By Jun 1, 2024","By Jun 1, 2024","Not By Jun 1, 2024","If Billie Eilish has a #1 song on the Billboard Hot 100 (including features), by the Billboard issue for the week of Jun 1, 2024, then the market resolves to Yes.",Billie Eilish has a #1 hit in May 2024?,In May 2024,da,Entertainment,annual,finalized,no,2024-05-13T14:00:00Z,2024-05-27T04:01:00Z,1,1,1,16284.0,13.584027777777777,1715608800,1716782460,15,14,1715659200.0,1716782400.0,success,14
kalshi:1SONGCHAPPELLROAN-DEC2824,1SONGCHAPPELLROAN-DEC2824,1SONGCHAPPELLROAN-DEC2824,KX1SONGCHAPPELLROAN,"Will Chappell Roan have a #1 hit by Dec 28, 2024?","By Dec 28, 2024",In 2024,In 2024,"If Chappell Roan has a #1 song on the Billboard Hot 100 (including features), by the Billboard issue for the week of Dec 28, 2024, then the market resolves to Yes.",Chappell Roan has a #1 hit in 2024?,In 2024,Chappell Roan top song,Entertainment,annual,finalized,no,2024-08-07T16:00:00Z,2024-12-23T05:01:00Z,1,1,1,27126.0,137.54236111111112,1723046400,1734930060,139,112,1723089600.0,1734930000.0,success,112
kalshi:538APPROVEMAX-23APR30-T44.0,538APPROVEMAX-23APR30-T44.0,538APPROVEMAX-23APR30,KX538APPROVEMAX,"Will Biden's approval rating ever get above 44.0% by Apr 30, 2023?",>44.0%,Above 44.0%,44.0% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 44.0% between Issuance and Apr 30, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Apr 30, 2023?","By Apr 30, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-04-04T14:00:00Z,2023-05-01T03:59:00Z,0,1,0,4359.0,26.582638888888887,1680616800,1682913540,28,21,1680667200.0,1682827200.0,success,21
kalshi:538APPROVEMAX-23APR30-T45.0,538APPROVEMAX-23APR30-T45.0,538APPROVEMAX-23APR30,KX538APPROVEMAX,"Will Biden's approval rating ever get above 45.0% by Apr 30, 2023?",>45.0%,Above 45.0%,45.0% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 45.0% between Issuance and Apr 30, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Apr 30, 2023?","By Apr 30, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-04-04T14:00:00Z,2023-05-01T03:59:00Z,0,1,0,218.0,26.582638888888887,1680616800,1682913540,28,14,1680667200.0,1682136000.0,success,14
kalshi:538APPROVEMAX-23APR30-T46.0,538APPROVEMAX-23APR30-T46.0,538APPROVEMAX-23APR30,KX538APPROVEMAX,"Will Biden's approval rating ever get above 46.0% by Apr 30, 2023?",>46.0%,Above 46.0%,46.0% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 46.0% between Issuance and Apr 30, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Apr 30, 2023?","By Apr 30, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-04-04T14:00:00Z,2023-05-01T03:59:00Z,0,1,0,0.0,26.582638888888887,1680616800,1682913540,28,5,1680667200.0,1681185600.0,success,5
kalshi:538APPROVEMAX-23AUG31-T42,538APPROVEMAX-23AUG31-T42,538APPROVEMAX-23AUG31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 42% by Aug 31, 2023?",>42%,Above 42%,42% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 42 between Issuance and Aug 31, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Aug 31, 2023?","By Aug 31, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-08-01T15:30:00Z,2023-09-01T03:59:00Z,0,1,0,3386.0,30.520138888888887,1690903800,1693540740,32,24,1690948800.0,1693454400.0,success,24
kalshi:538APPROVEMAX-23AUG31-T43,538APPROVEMAX-23AUG31-T43,538APPROVEMAX-23AUG31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 43% by Aug 31, 2023?",>43%,Above 43%,43% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 43 between Issuance and Aug 31, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Aug 31, 2023?","By Aug 31, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-08-01T15:30:00Z,2023-09-01T03:59:00Z,0,1,0,54.0,30.520138888888887,1690903800,1693540740,32,12,1690948800.0,1693368000.0,success,12
kalshi:538APPROVEMAX-23AUG31-T44,538APPROVEMAX-23AUG31-T44,538APPROVEMAX-23AUG31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 44% by Aug 31, 2023?",>44%,Above 44%,44% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 44 between Issuance and Aug 31, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Aug 31, 2023?","By Aug 31, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-08-01T15:30:00Z,2023-09-01T03:59:00Z,0,1,0,50.0,30.520138888888887,1690903800,1693540740,32,7,1690948800.0,1693454400.0,success,7
kalshi:538APPROVEMAX-23DEC31-T45,538APPROVEMAX-23DEC31-T45,538APPROVEMAX-23DEC31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 45% by Dec 31, 2023?",>45%,Above 45%,45% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 45% between Issuance and Dec 31, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Dec 31, 2023?","By Dec 31, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-03-02T15:00:00Z,2024-01-01T04:59:00Z,0,1,0,2349.0,304.5826388888889,1677769200,1704085140,306,40,1677819600.0,1702270800.0,success,40
kalshi:538APPROVEMAX-23DEC31-T46,538APPROVEMAX-23DEC31-T46,538APPROVEMAX-23DEC31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 46% by Dec 31, 2023?",>46%,Above 46%,46% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 46% between Issuance and Dec 31, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Dec 31, 2023?","By Dec 31, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-03-02T15:00:00Z,2024-01-01T04:59:00Z,0,1,0,1440.0,304.5826388888889,1677769200,1704085140,306,40,1677819600.0,1702098000.0,success,40
kalshi:538APPROVEMAX-23DEC31-T47,538APPROVEMAX-23DEC31-T47,538APPROVEMAX-23DEC31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 47% by Dec 31, 2023?",>47%,Above 47%,47% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 47% between Issuance and Dec 31, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Dec 31, 2023?","By Dec 31, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-03-02T15:00:00Z,2024-01-01T04:59:00Z,0,1,0,840.0,304.5826388888889,1677769200,1704085140,306,28,1677819600.0,1702098000.0,success,28
kalshi:538APPROVEMAX-23DEC31-T48,538APPROVEMAX-23DEC31-T48,538APPROVEMAX-23DEC31,KX538APPROVEMAX,"Will Biden's approval rating ever get above 48% by Dec 31, 2023?",>48%,Above 48%,48% or below,"If, according to FiveThirtyEight, Biden's maximum approval rating is above 48% between Issuance and Dec 31, 2023, then the market resolves to Yes.","Biden 538 highest approval rating by Dec 31, 2023?","By Dec 31, 2023",Biden 538 highest approval rating,Politics,custom,finalized,no,2023-03-02T15:00:00Z,2024-01-01T04:59:00Z,0,1,0,1100.0,304.5826388888889,1677769200,1704085140,306,22,1677819600.0,1702098000.0,success,22
